5.540000,-1.#IND00,-1.#IND00 
5.550000,-1.#IND00,-1.#IND00 
5.560000,-1.#IND00,-1.#IND00 
5.570000,-1.#IND00,-1.#IND00 
5.580000,-1.#IND00,-1.#IND00 
5.590000,-1.#IND00,-1.#IND00 
5.600000,-1.#IND00,-1.#IND00 
5.610000,-1.#IND00,-1.#IND00 
5.620000,-1.#IND00,-1.#IND00 
5.630000,-1.#IND00,-1.#IND00 
5.640000,-1.#IND00,-1.#IND00 
5.650000,-1.#IND00,-1.#IND00 
5.660000,-1.#IND00,-1.#IND00 
5.670000,-1.#IND00,-1.#IND00 
5.680000,-1.#IND00,-1.#IND00 
5.690000,-1.#IND00,-1.#IND00 
5.700000,-1.#IND00,-1.#IND00 
5.710000,-1.#IND00,-1.#IND00 
5.720000,-1.#IND00,-1.#IND00 
5.730000,-1.#IND00,-1.#IND00 
5.740000,-1.#IND00,-1.#IND00 
5.750000,-1.#IND00,-1.#IND00 
5.760000,-1.#IND00,-1.#IND00 
5.770000,-1.#IND00,-1.#IND00 
5.780000,-1.#IND00,-1.#IND00 
5.790000,-1.#IND00,-1.#IND00 
5.800000,-1.#IND00,-1.#IND00 
5.810000,-1.#IND00,-1.#IND00 
5.820000,-1.#IND00,-1.#IND00 
5.830000,-1.#IND00,-1.#IND00 
5.840000,-1.#IND00,-1.#IND00 
5.850000,-1.#IND00,-1.#IND00 
5.860000,-1.#IND00,-1.#IND00 
5.870000,-1.#IND00,-1.#IND00 
5.880000,-1.#IND00,-1.#IND00 
5.890000,-1.#IND00,-1.#IND00 
5.900000,-1.#IND00,-1.#IND00 
5.910000,-1.#IND00,-1.#IND00 
5.920000,-1.#IND00,-1.#IND00 
5.930000,-1.#IND00,-1.#IND00 
5.940000,-1.#IND00,-1.#IND00 
5.950000,-1.#IND00,-1.#IND00 
5.960000,-1.#IND00,-1.#IND00 
5.970000,-1.#IND00,-1.#IND00 
5.980000,-1.#IND00,-1.#IND00 
5.990000,-1.#IND00,-1.#IND00 
